objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,Staff,Faculty advisor,Pages
coll033,v05no02.jpg,,,Volume 5 Issue 2,,1975-10-09,"ACSA Western Regional Conference; Urban Spring: Proposed in Portland; Turn Back the Clock by Brand Eater; Accredidation Committee, Jane Galblum; Architecture and Business Construction Students, Larry B. Wassey; Bicentennial Gift Catalogue; SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,"Sally Squire; Jane Gablum, Dale Crutis, Larry Whyman, Dennis Reilly, Warren Hedgepeth, Esther Gaddecke; Quentin Bruhn, Paul Hess, Rick Pedly; Kerry Williams; Mardi Sager; Matt Schiewe",Mike Utsey,6
coll034,v05no03.jpg,,,Volume 5 Issue 3,,1975-11-13,"Pong; Get Straight, Don Peting; Architecture Inspected; The Lawrence Music Series; Summer in Japan by Kerry Williams and Sally Squire; The Jane and Tracey Report, Reported by : Jane and Tracey; Give Yourself To a Child; ACSA Workshop: From Drink to Drink; Landscape?; Avenu's Parade of Sports, Rick ""the Rocket"" Pedley; Letters; Greece; SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,6
coll035,v05no04.jpg,,,Volume 5 Issue 4,,1975-12-04,"Comment, Warren J. Hegpeth; Review Revue; Interconnections, Marti Sagar; Tenure, Bob Harris; Pattern Language JM001 Nomadic Life, J Meadows; Letters; Reviews and Revies, Chin K.P.",,,,,,,Image;StillImage,image/jpeg,,,,,,2
coll036,v05no05.jpg,,,Volume 5 Issue 5,,1976-01-16,"Getting it Straight, Don Peting; Pettern Language, John Meadows; Accommodating Life Style, R. Elliot New; Letters; Assorted Poems; Arch Angel, Paul Hass; More Thoughts on Mercer, Tom Jones; Time, J. Patrick Ramd; Cartoon, Tom Jones; The Model Makers; D. Curtis; Astrology, Madame Rhebar; Research Reports, David Terry",Full Issue,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll037,v05no06.jpg,,,Volume 5 Issue 6,,1976-02-13,"Musings; Getting it Straight, DOn Peting; Lecutres; Notices; Solar Energy Forum; The Seminar Abstracts; Accommodating Lifestyles, R. Elliot New; Pattern Language: #300: False Idols, Marc Schiff, Robert Janik, George Tuthu, Cameron Hyde, Patricia Cilson and The Timeless Way to Practice, Greg Byler; Letters; Evolution Through Opposiiton; Food for Though, Richard Parnaby, SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll038,v05no07.jpg,,,Volume 5 Issue 7,Dennis P Reilly,1976-03-08,"Anouncements and Notices; Getting it Straight, Don Peting; Graduation - A Cold Day in Hell; Synthetic Paper #2, J Patrick Rand; Cosmic Capers, Madame Rhebar; Spring Class Listing; Letters to the Editor; Jobs and Scholarships; False Idols A Respons, Bob Harris; It's All Past History, Dennis P Reilly; Crossing the Channel with Dick Smith; Spacial comments, Bill Kelinsasser; Revealing Designs for America, Tom Jones; Pattern Language - Someone at Home, John Meadows and David Edrington; Sketches of Regensburg, John Barker; 380 and the Illusion of Choice, tom Jones; Accomodating Lifestyles, Randy New; Contradictiongs in Housing, David Terry; Le Corbusier - A Poem, Ismet Guchan; SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,10
coll039,v05no08.jpg,,,Volume 5 Issue 8,,1976-04-09,"Spring Break, Jon Thompson; Notices; Nature of Dissent, Ismet Guchan; More, The Collective Staff; Landscape of Antolia, Ismet Guchan; Attend, Paul D Kelin; Acrredited!; Livability; Poem, Lizz Hordurak; Mobility Migration Movement, Tom Jones; Letter From Guetemala; Dick Smith Speaks, R. A. Smith; Monastery, Don Prohaska; The Giants, Frank DePinto; Open Letter, Otto P Poticha; SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,8
coll040,v05no09.jpg,,,Volume 5 Issue 9,,1976-05-06,"Bag Talk, Center for Environmental Research; Getting it Straight, Don Peting; Notices; The Kids Own School, Dennsi P Reilly; Letters; Grades, Tracy Brown; The Squeeze, Tom Jones; Style, Randy New; Science Fiction and Design, Dave Sandahl; The Mobility Reply, Jon Thompson; With Grace; Easy Igloo; Poem, Valerie Pattos; Design Politics, D.W. Davis; Dissent on Dissent, Richard Pomety; Jobs? Moreland G. Smith; Patterns? Randy New; The Housing Question, Ismet Guchan; Poem; SWO AIA",Full Issue,,,,,,Image;StillImage,image/jpeg,,,,,,10
coll041,v05no10.jpg,,,Volume 5 Issue 10,Tom Jones,1976-05-28,"A New Experience; Notices; So. The SHadow; Holly Wood, Berthold Brecht; PTS, Jane and Carol; Towards Better Communication for design, Randy New; Turning Pro Avenu Revu, Tom Jones; Crises Are Integral, Ismet Guchan; Design Politics, D. W. Davis; Poem from Berthold Brecht; 6th of May, Ismet Guchan; The Super System Any Style, Tom Jones; Letters; Willamette Community Design Center; Final Review Schedule; Come See! Noti Passive Solar Heated Greenhouse, Paul Venolia; SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,8
coll042,v06no01.jpg,,,Volume 6 Issue 1,,1976-09-20,"Open Letter, Robert S. Harris; Are you anxious... Eager? Bill Gilland; Getting It Straight, Don Peting; Notice; Landscape, Jerome Diethelm; Foundry; Class Schedule; Introducing the Department of Architecture Faculty; The Best of References; From the Westside, Don Proheska; San Francisco Impressions, Tom Jones",Full Issue,,,,,,Image;StillImage,image/jpeg,,,,,,6
coll043,v06no02.jpg,,,Volume 6 Issue 2,,1976-10-18,"A Conversation with Gerald; Barker's Bank, Utsey; Notices; From the West Side, Don Prohaska and Tom Jones; Armory; Long Shot, Jon Thompson; SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,6
coll044,v06no03.jpg,,,Volume 6 Issue 3,,1976-11-15,"Getting it Straight, Don Peting; Copenhagen; New Policies; Gerald; Armory; Greece; Exile on S.W.6th, Jeff Smith; words from the whole, Ron K Bills; Alton Baker Park, Fred CuthbertTo the Editor, SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,8
coll045,v06no04.jpg,,,Volume 6 Issue 4,,,,,,,,,,Image;StillImage,image/jpeg,,,,,,
coll046,v06no05.jpg,,,Volume 6 Issue 5,,1977-01-24,"Faculty in Jail, Mike Shellenbarger; Notices; ACSA; A Hiking Story, Matt Schieve; Freedom Through Architecture, Jeff Smith; Words From the Whole, Ron K Bills; Postmortem, Dale Nydren; Down on the Farm, Ian Mo Clure; Graduate Studies Program Report; ASC AIA, Randy Knill, Kim Kinney, Jay Leavitt; Committment, Prof Michael Kwartler; Considering the Offensive, Tome Jones;",,,,,,,Image;StillImage,image/jpeg,,,,,,6
coll047,v06no06.jpg,,,Volume 6 Issue 6,,1977-02-14,"ASC/AIA, Mark Morden; Recycle, Russell WHang; Extension of Fixed Term?; Getting it Straight, Don Peting; Californian City Lights; Graduate Summit, Don Prohaska; CER, Dorthy Wright/CER; An Energy Self-Sufficient Home... Dale M Nygren; SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll048,v06no07.jpg,,,Volume 6 Issue 7,Barbara Corff,1977-03-07,"Review Schedule; Straight from Don Peting; Notices; Lawrence Follies, The Rex Reviewer, Ron Kat; Dick Williams, by Barbara Corff, Kim Kinney; Feature Building #1, Alice Hall; Seeking Alternatives; Judy McKorter; Zoo, Jerome Diethelm; Urban Farm Spring Garden; Northwest Conference on the International Situation; Center Perspective, Steve Wood; Willamette Community Design Center; Cottage Grove Housing; The Child Center",,,,,,,Image;StillImage,image/jpeg,,,,,,8
coll049,v06no08.jpg,,,Volume 6 Issue 8,,1977-04-11,"Department Notes, Don Prohaska; AAA Library Hardware, Beth Shafer; MLTW/TURNBULL Assoc. John Brinkley, Wal-Chung Yeung; Feature Building 2, Marv Glover; SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll050,v06no09.jpg,,,Volume 6 Issue 9,,1977-04-20,"Shcool Graffiti; Ocassional Papers from CER, DAS/mbc; Research in Rome, Don Peting;  The Stewart House; Noti Solar Greenhouse, Edward;  ",,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll051,v06no10.jpg,,,Volume 6 Issue 10,,1977-05-02,"Interview with Kaplan and McLaughlin, Marv Glover and Eddie Chan; CER Follor Up; American Society of Interior Designers, Barbara Corff; Getting it Straight, Don Peting; Notices; Feature Building 3, Skip Allen; Cero Gordo, Don Pohaska; Face ift for Deady, Jimmy Olsen; More on Jobs, Bob Carothers; Elite Designer Addresse Banquet; William Gaylord, Marilyn Neill; Fumihiko Maki to Lecture Here; Landform, Lee Stevenson; A Collection of Memoriable Places; Images: Of in and out again, Brad Cloepfil; Opinion Poll, William R. Higginson, Potlach; Edra8, Honn and Mary Ann Meyers, SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,8
coll052,v06no11.jpg,,,Volume 6 Issue 11,,1977-05-31,"Community Design Center, Anette Lecuyer and Andy Lo; CER Follow Up, David A Sandahl;  Got It Straight, Don Peting; Notices; SUAB, Ron Kat Bills, ; ARCH 409G, Mac Hodge; New Directions for State Buildings; Michael Kwartler, Michael Reilly; Visitors' Views, Kathleen Hastey; Hello from the Smiths, Jeff Smith; Book Reviews; Portland Zoo; Recognize the Land, Lee Stevenson; Can... Evolving Lansdscapes, Roland S Arberg; Computer Architecture, John Goldman; Opinion Poll; Writer's Workshop; Urban Spring 77 Seattle, Dave Jensen; Eugene Historic Review Board; Feature Building 1677 East 25th, Jim Pettinari; Interiors; Exteriors, Barbara Corff; Policies of the School of Architecture and Allied Arts; SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,,,18
coll053,v07no01.jpg,,,Volume 7 Issue 1,,1977,,,,,,,,Image;StillImage,image/jpeg,,,,,,
coll054,v07no02.jpg,,,Volume 7 Issue 2,Barbara Corff,1977-10-01,"Boyarsky, Con Genasci; Getting it Straight; Money Money Money; Inside; Committees; Head Sought; Pahlavi Library: A Controversy; Iranians Challenge Designer Ethics, Steve Buhler; Views From the Top, Harris Finrow; Teh Amazon Needs A Kiss, Lee Stevenson; Gas Plant Park; John Reynold Hits the Big Time, Steve Buhler; News from the Center for Enviornmental Research, Dave Sandahl; Bus Shelter Renovation, Matt Schiewe; AIA; ASID; SWO AIA; WCDC",Full Issue,,,,,,Image;StillImage,image/jpeg,,,,"Richard Minert; Lee Phillips; Steve Buhler; Barbara Wood, Matt Schewe, Ralph McDaniel, Chris Snell, Michael Reilly, Fabio Pradarelli, Steve Cruzen, Lee Stevenson",,
coll055,v07no03.jpg,,,Volume 7 Issue 3,,1977-11-08,"On Commitment, Jeff Smith; Getting it Straight, Richard Garfeild; Attention: Department Questioned; Downtown Mall, Lee Stevenson; Framework and Criticism of Euge's City Planning, Buhler-Wood; Mr. Pettinari Goes to Wisconsin, James Pettinari; The Building of Timberline Lodge, Ellen Kotz; Brain Writes with ""A Sugar Cone"" Brian Carter; ASC/AIA; ASID; SUAB; Interview: Project Manager Jack Macallister by Henry C Kunowski; Comment; Pahlavi Library, G. Plesums; A Parking Structure and A Structure for Parking, Grant Seder; Letters; A Career in Architecture, William Brockway; The Void Within, William Brockway; Eugene Systems Developement Charge; SWO AIA",Full Issue,,,,,,Image;StillImage,image/jpeg,,,,,,16
coll056,v07no04.jpg,,,Volume 7 Issue 4,Barbara Corff,1977-12-07,"Arhcitects Comment, Steve Buhler; Graduates Satisfied with Education Here; Avenu Comments, Barbara Corff ; By Deparment's Specific ActionU.O Architecture is Important, Robert Harris; A More Cohesive Grad Could Have Bettered Jon's Eductation, Jon Taylor; To Know Life, Sophia Damas; Lecture son ""Professional Practice"" Jerry Finrow; ASC AIA; ASID; Gerlinger Renovation, Barbara Wood; Profession, Robin Shapiro; Planning for Survival, William Brockway; Inner City Exodus Beginning to Reverse, Charles W Ross; Wind from Williams...; SWO AIA",Full Issue,,,,,,Image;StillImage,image/jpeg,,,,,,8
coll057,v07no05.jpg,,,Volume 7 Issue 5,,1978-01-19,"Stop All Architecture, David Hodgdon; A Changing Lifestyle: Voluntary Simplicity, Reprinted from the Futurist; Some New Ideas The Curriculum; Comments; A Book Review of The Architect: Chapters in the History of the Profession, Jerry Finrow; Briefs; Student Faculty Exchange; ASC AIA; SWO AIA; Epistles from Edward, Ed Waterbury; ",,,,,,,Image;StillImage,image/jpeg,,,,"John Hail, Ralph McDaniel, JEffMcFall, Fabio Pradarelli, Michael Reilly, Martin Salmon, Matt schiewe, Lee Stevenson, Eugene Tsui, Mike ",,8
coll058,v07no06.jpg,,,Volume 7 Issue 6,Chris Snell,1978-02-15,"Avenu Introduction; Comments, Chris Snell; Lawrence Hall Imprevemnts Needed, Jeffrey S McFall; Avenu Facts and History; Bruce Scoffs: A young Architect's Protest for Architecture, Bruce Goff; Be Seeing You, Fred Tepfer; Trying to Wrench Oursleves from A Closed System of Thoughts, Don Prohaska; Oregon Hall Despised, Mike Pease; Beaux Arts Blues, Peter Blake; Briefs; Student's Work; Education: An Address to Students and Educators, Eugen Tsui; Scholarship; Schedule; Good Enough to Eat?; SWO AIA  ",,,,,,,Image;StillImage,image/jpeg,,,,"John Hail, Ralph McDaniel, Jeff McFall, Fabio Pradarelli Michael Reily, Martin Slamon, Matt Schiewe, Chris Snell (editor), Lee stevenson, Eugene Tsui, Mike Wilson, Mike Utsey (Advisor) ",Michael Utsey,16
coll059,v07no07.jpg,,,Volume 7 Issue 7,,1978-03-06,"The Urgency of Change, Eugene Tsui; Comments, Ralph McDaniel; Does Architecture Pay? Lee Stevenson; On the Work of Paolo Soleri;  Diversity of Architecture Practices, Carol Venolia; Appropriate Technology, Nano Tuuk; Tax Exempt for Public Benefit, Leight Zahn; Punk Architecture, Ralph McDaniel; Our Cut, Sarah Kittinger; Rumbles from the Studio, Robin Particia Geer; Our Cut, Martin Salmon; Thom Kack; AandAA Remodel Data Assembled; Ross's Replacement, John Hail; $500,000 Laundramat, Joel Schwartz; Briefs, Jeffrey S McFall; Freedom and Fear, Eugene Tsui; OCA Report, Jerry Finrow; SWO AIA",,,,,,,Image;StillImage,image/jpeg,,,,"John Hail, Ralph McDaniel, Jeff McFall, Fabio Pradarelli Michael Reily, Martin Slamon, Matt Schiewe, Chris Snell, Lee stevenson, Eugene Tsui, Mike Wilson",Mike Utsey,16
coll060,v07no07.5.jpg,,,Volume 7 Special Issue,,1978-03-31,Department Head Condidates to Visit,,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll061,v07no08.jpg,,,Volume 7 Issue 8,,1978-04-18,"A Dream, Mrs. W Aurobindo, Auroville Voice Volume 1, No 1; More Structure? Dennis Dinsmore; Transcending Mediocrity, Martin Salmon; Freedom and Fear Part II, Eugene Tsui; HUD News; Student Work; Spring Lecture Series; Summer in New Mexico, Edith Cherry; SWO AIA; Letters: Oregon Hall Revisited",,,,,,,Image;StillImage,image/jpeg,,,,,,16
